               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11454,            0.015894,            0.024645,          0.00042111,             0.10446,           0.0012492,          0.00028996,             0.10505,            0.013133,            0.017429,            0.070146,           0.0033171,           0.0033171
                   1,             0.10039,            0.013292,            0.017922,             0.81011,            0.043644,            0.028894,           0.0087364,            0.093136,            0.012476,            0.013866,            0.040015,           0.0065187,           0.0065187
                   2,            0.094577,            0.012556,            0.016014,             0.81198,            0.049209,            0.040661,            0.011943,            0.093404,            0.013326,            0.013565,            0.009751,           0.0095884,           0.0095884
                   3,            0.092773,            0.011938,            0.015205,             0.57072,            0.053629,            0.027399,           0.0087823,            0.097319,            0.014071,            0.014705,            0.009406,            0.009406,            0.009406
                   4,            0.090151,            0.011963,            0.014531,             0.15739,             0.10074,            0.057858,            0.019479,            0.087416,            0.013031,             0.01166,            0.009406,            0.009406,            0.009406
                   5,            0.088148,            0.012198,            0.013752,             0.18667,             0.12568,            0.085123,            0.029334,            0.085739,            0.012615,            0.011683,            0.009208,            0.009208,            0.009208
                   6,            0.087778,            0.011956,            0.013329,             0.18599,             0.13404,            0.082269,            0.025181,            0.086251,            0.012311,            0.012486,             0.00901,             0.00901,             0.00901
                   7,            0.086862,            0.011962,             0.01273,             0.15993,             0.14702,            0.088381,            0.027763,            0.084597,            0.012263,            0.012132,            0.008812,            0.008812,            0.008812
                   8,            0.086119,            0.011763,            0.012793,             0.22523,             0.14346,             0.11132,            0.038002,            0.080834,            0.012115,            0.010828,            0.008614,            0.008614,            0.008614
                   9,            0.085482,            0.011924,            0.012209,              0.1666,             0.13742,              0.0914,            0.030216,            0.083728,            0.012339,            0.011779,            0.008416,            0.008416,            0.008416
                  10,            0.084704,            0.011613,            0.011851,             0.20001,             0.15268,             0.10774,            0.038513,            0.082793,            0.012121,            0.010384,            0.008218,            0.008218,            0.008218
                  11,            0.083951,            0.012611,            0.011906,              0.1784,             0.15899,             0.10621,            0.037239,            0.082102,            0.012245,            0.011763,             0.00802,             0.00802,             0.00802
                  12,            0.083431,            0.012018,            0.011563,              0.2586,             0.12455,            0.095784,            0.034938,            0.080896,            0.012723,            0.012445,            0.007822,            0.007822,            0.007822
                  13,             0.08229,            0.011602,            0.010696,             0.28353,             0.17422,             0.12636,            0.042764,            0.080486,            0.012012,            0.010253,            0.007624,            0.007624,            0.007624
                  14,            0.082331,            0.011907,            0.010755,              0.2185,             0.18888,             0.13339,            0.044866,            0.079621,             0.01194,            0.010797,            0.007426,            0.007426,            0.007426
                  15,            0.081409,            0.011764,            0.010587,             0.22602,             0.15951,             0.11384,            0.040665,            0.080061,            0.011986,            0.010109,            0.007228,            0.007228,            0.007228
                  16,            0.082079,            0.011929,            0.010863,             0.24326,             0.20269,             0.13853,            0.044369,            0.079019,            0.011985,           0.0098586,             0.00703,             0.00703,             0.00703
                  17,            0.081105,            0.011704,            0.010075,             0.22404,             0.18522,             0.12706,            0.045316,            0.079092,             0.01207,           0.0093489,            0.006832,            0.006832,            0.006832
                  18,            0.080563,            0.011465,           0.0098662,             0.22436,             0.18573,             0.13732,            0.048463,            0.078197,            0.012129,            0.011231,            0.006634,            0.006634,            0.006634
